Fund Holdings as of,"25/Aug/2026"

Ticker,Name,Type,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"VRTX","VERTEX PHARMACEUTICALS","EQUITY","Health Care","Equity","184,266,563.55","0.62","184,266,563.55","333,303.00","552.85","United States","NASDAQ","USD"
"ISRG","INTUITIVE SURGICAL INC","EQUITY","Health Care","Equity","172,938,321.92","0.58","172,938,321.92","465,088.00","371.84","United States","NASDAQ","USD"
"SBUX","STARBUCKS CORP","EQUITY","Consumer Discretionary","Equity","158,369,571.68","0.53","158,369,571.68","1,497,443.00","105.76","United States","NASDAQ","USD"
"ADP","AUTOMATIC DATA PROCESSING INC","EQUITY","Industrials","Equity","148,460,065.56","0.50","148,460,065.56","525,002.00","282.78","United States","NASDAQ","USD"
"FTNT","FORTINET","EQUITY","Information Technology","Equity","147,909,581.82","0.50","147,909,581.82","962,577.00","153.66","United States","NASDAQ","USD"
"ADBE","ADOBE INC","EQUITY","Information Technology","Equity","145,433,441.28","0.49","145,433,441.28","530,934.00","273.92","United States","NASDAQ","USD"
"ARM","ARM HOLDINGS AMERICAN DEPOSITARY S","EQUITY","Information Technology","Equity","134,523,073.08","0.45","134,523,073.08","556,893.00","241.56","United Kingdom","NASDAQ","USD"
"MELI","MERCADOLIBRE","EQUITY","Consumer Discretionary","Equity","132,940,290.00","0.45","132,940,290.00","66,570.00","1,997.00","United States","NASDAQ","USD"
"CEG","CONSTELLATION ENERGY CORP","EQUITY","Utilities","Equity","132,078,271.70","0.44","132,078,271.70","474,385.00","278.42","United States","NASDAQ","USD"
"INTU","INTUIT","EQUITY","Information Technology","Equity","128,387,120.90","0.43","128,387,120.90","359,165.00","357.46","United States","NASDAQ","USD"
"CMCSA","COMCAST CLASS A","EQUITY","Communication","Equity","126,871,468.40","0.43","126,871,468.40","4,681,604.00","27.10","United States","NASDAQ","USD"
"DASH","DOORDASH CLASS A","EQUITY","Consumer Discretionary","Equity","126,171,958.50","0.42","126,171,958.50","540,351.00","233.50","United States","NASDAQ","USD"
"CSX","CSX","EQUITY","Industrials","Equity","125,433,134.22","0.42","125,433,134.22","2,435,122.00","51.51","United States","NASDAQ","USD"
"MNST","MONSTER BEVERAGE","EQUITY","Consumer Staples","Equity","125,241,070.46","0.42","125,241,070.46","2,570,102.00","48.73","United States","NASDAQ","USD"
"APP","APPLOVIN CLASS A","EQUITY","Communication","Equity","124,707,895.36","0.42","124,707,895.36","401,584.00","310.54","United States","NASDAQ","USD"
"MAR","MARRIOTT INTERNATIONAL CLASS A","EQUITY","Consumer Discretionary","Equity","123,880,009.12","0.42","123,880,009.12","346,256.00","357.77","United States","NASDAQ","USD"
"CDNS","CADENCE DESIGN SYSTEMS","EQUITY","Information Technology","Equity","120,269,939.20","0.41","120,269,939.20","362,368.00","331.90","United States","NASDAQ","USD"
"REGN","REGENERON PHARMACEUTICALS","EQUITY","Health Care","Equity","112,693,144.20","0.38","112,693,144.20","135,195.00","833.56","United States","NASDAQ","USD"
"CTAS","CINTAS","EQUITY","Industrials","Equity","107,631,889.24","0.36","107,631,889.24","525,649.00","204.76","United States","NASDAQ","USD"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","EQUITY","Consumer Staples","Equity","105,658,481.15","0.36","105,658,481.15","1,677,385.00","62.99","United States","NASDAQ","USD"
"ABNB","AIRBNB CLASS A","EQUITY","Consumer Discretionary","Equity","104,476,105.50","0.35","104,476,105.50","548,431.00","190.50","United States","NASDAQ","USD"
"SNPS","SYNOPSYS","EQUITY","Information Technology","Equity","102,772,258.74","0.35","102,772,258.74","251,406.00","408.79","United States","NASDAQ","USD"
"ROST","ROSS STORES INC","EQUITY","Consumer Discretionary","Equity","102,067,990.15","0.34","102,067,990.15","423,185.00","241.19","United States","NASDAQ","USD"
"ORLY","OREILLY AUTOMOTIVE INC","EQUITY","Consumer Discretionary","Equity","98,334,906.48","0.33","98,334,906.48","1,088,739.00","90.32","United States","NASDAQ","USD"
"DDOG","DATADOG INC CLASS A","EQUITY","Information Technology","Equity","96,910,339.05","0.33","96,910,339.05","434,595.00","222.99","United States","NASDAQ","USD"
